id,track_name,artist_name,acousticness,danceability,energy,valence,instrumentalness,speechiness,tempo,loudness,mode,key,duration_ms,time_signature
1uNpb3Bx0jpKdnJYwjoRJS,Silent Wood,Purrple Cat,0.916,0.649,0.151,0.0622,0.95,0.0299,99.997,-16.832,0,9,187650,4
59Du8RvTv7YttvG4Y5a1u7,Pineapple Popsicle,Purrple Cat,0.909,0.746,0.131,0.206,0.901,0.0395,124.025,-14.609,1,5,167913,4
4txAb9M35zhIzoeFoOgTYy,I Can't Breathe,Purrple Cat,0.71,0.357,0.266,0.238,0.894,0.075,83.138,-16.182,0,6,113341,4
5eJGmb3Jkgicdhwjlbc5lq,Beach Club,Purrple Cat,0.445,0.73,0.447,0.887,0.88,0.0715,144.034,-12.617,1,0,134653,4
3m2hqoBh9w9WjVybwxroey,Nightfall,Purrple Cat,0.632,0.631,0.269,0.169,0.836,0.0272,118.017,-13.898,1,10,146748,4
2YFsTZYa7TJu3cc7l2bg0J,Message in a Bottle,Purrple Cat,0.814,0.864,0.243,0.158,0.916,0.0455,103.98,-14.244,1,2,205685,4
6TpDkQsRQaYP5ImxcdzHKl,Palm Tree,Purrple Cat,0.572,0.612,0.275,0.327,0.891,0.0435,90.004,-20.539,1,0,140174,3
6D8pDqfxFnCAR28zUq4nln,Too Tired,Purrple Cat,0.829,0.788,0.195,0.04,0.933,0.0634,111.998,-16.817,1,3,189118,4
4dHhQWhWxCRgh8oyiYFcBo,Empty Food Bowl,Purrple Cat,0.982,0.457,0.0981,0.0802,0.956,0.069,70.18,-23.012,0,9,161332,5
7gVcJuem624yLDtXXAMCOS,Reflection,Purrple Cat,0.817,0.63,0.212,0.0582,0.64,0.035,159.956,-17.003,0,7,191258,4
7iyB9kvN7CZQxp0F95mbII,Thunderous Waves,Purrple Cat,0.483,0.588,0.397,0.268,0.88,0.032,160.001,-13.716,0,4,183857,4
5QNBNVffvTn488qRMrVv7J,Sleeping Cat,Mujo,0.887,0.731,0.112,0.0829,0.943,0.0432,102.046,-17.331,0,9,133899,4
69ENsdRSj6k8t5fJC8E18q,Secret of the Forest,Purrple Cat,0.863,0.678,0.297,0.0814,0.875,0.0361,124.012,-12.429,0,6,190171,4
4NEdYvtOsYp4AMQFYc7Thp,Dark Chocolate,Purrple Cat,0.809,0.795,0.255,0.106,0.747,0.049,120.013,-15.11,1,8,177365,4
3blC2XXdKhMv1npcXIhEUn,Secrets,Purrple Cat,0.657,0.525,0.298,0.309,0.891,0.0319,180.051,-13.899,0,9,168010,3
0BbXuMMj5fvnxryn9iS3Ff,floating to my bedroom,Purrple Cat,0.935,0.58,0.35,0.118,0.796,0.037,80.031,-16.239,1,8,123086,4
7iJcVQEVtOYt2KndCw1vzS,Please Hold Me,Purrple Cat,0.43,0.643,0.195,0.124,0.577,0.0386,114.012,-15.521,0,11,272643,4
0FDGRCbDZRTGmbrEE30ojn,Bubble Wand,Purrple Cat,0.0406,0.785,0.377,0.492,0.708,0.0367,119.997,-14.07,1,5,200562,4
41LO8apLn3wP2iYXuVAgXx,Crystalline,Purrple Cat,0.774,0.616,0.298,0.177,0.937,0.0326,130.006,-15.502,0,9,146144,4
3rWaleO6uxopdvCSmgq62b,Satellite,Purrple Cat,0.48,0.644,0.422,0.174,0.883,0.0405,80.989,-11.897,0,10,169699,4
7vIuFIgybZUZOFf4Ele5XJ,Otherworldly,Purrple Cat,0.237,0.524,0.302,0.13,0.752,0.0284,150.084,-10.845,0,7,224267,4
2O9SIMvF7sVkDEOF0A6DGZ,Late Night Latte,Purrple Cat,0.815,0.6,0.229,0.0984,0.771,0.0344,119.945,-14.376,1,2,193240,4
28hy7195dGRFWJH9ktrj8y,Sigh,Purrple Cat,0.801,0.484,0.309,0.322,0.469,0.215,69.572,-14.707,1,0,165581,4
5GX8VFY0GfEbBBN3GccFLc,Remembering Something I Forgot,Purrple Cat,0.653,0.709,0.205,0.673,0.908,0.0481,119.979,-13.889,1,0,75938,3
5iVgxyv8FiRuw1Irnu9Ff9,Black Cherry,Purrple Cat,0.876,0.8,0.11,0.218,0.853,0.0662,120.023,-17.176,0,9,184510,4
1piGtCuA75ocZ4zevFFmsB,"Come One, Come All",Purrple Cat,0.36,0.673,0.408,0.235,0.843,0.0253,94.509,-13.079,1,8,152619,3
5ijcF0TidwVUw86gSI3aHd,Lost at Sea,Purrple Cat,0.849,0.442,0.434,0.0887,0.869,0.0328,177.095,-13.923,1,2,160222,3
7egD9ZC4Z9sUiN9IrTflbk,Day's End,Purrple Cat,0.755,0.698,0.29,0.365,0.948,0.0601,60.003,-11.978,1,8,165010,4
3HI64FaJeMHUvEyA7frI2w,Maelstrom,Purrple Cat,0.756,0.652,0.368,0.367,0.902,0.0338,117.999,-16.184,0,4,171165,4
1FLrGio1L49KBygUphpvYy,Sugar Coat,Purrple Cat,0.868,0.622,0.241,0.235,0.84,0.0325,120.031,-18.57,1,7,179625,4
7ALFqmiv33tWlTYHgS5gOV,Stasis,Purrple Cat,0.83,0.561,0.24,0.049,0.927,0.0274,89.991,-17.053,0,9,148719,4
4Pkx0joa9yABp1jRpKiZ3Q,Mysterious Passenger,Purrple Cat,0.493,0.739,0.295,0.0438,0.933,0.042,137.976,-15.071,0,9,135054,4
7Kc0Wjnsf0k3u8cckjE0hI,End of the Line,Purrple Cat,0.315,0.763,0.36,0.19,0.76,0.0353,120.0,-13.733,0,0,213922,3
1DYpAKoMeCFVFq4VpV8yyf,Sea of Stars,Purrple Cat,0.884,0.562,0.209,0.0878,0.86,0.0274,131.984,-15.217,1,0,141174,4
5k0RJdOF530EWIugBuhmer,Lost Paradise,Purrple Cat,0.952,0.789,0.259,0.635,0.932,0.0438,146.022,-12.555,0,9,120009,4
6qTazJj6hItf24osZ6QqAK,Low Tide,Purrple Cat,0.676,0.7,0.198,0.176,0.874,0.0323,108.018,-18.527,0,9,175567,4
617YpU3tE30XqMgytwaqtA,Constellations,Purrple Cat,0.925,0.436,0.158,0.0646,0.916,0.0296,170.051,-19.519,0,0,164890,4
5JK3lDAK4Pj0YMBaqwDMuf,Supernova,Purrple Cat,0.813,0.681,0.221,0.115,0.892,0.0415,120.016,-15.664,1,8,160021,4
0KS8Tgzv2OZ9ZXg0jh6A3t,Phantom Waltz,Purrple Cat,0.0775,0.645,0.3,0.173,0.881,0.0397,118.977,-14.213,0,9,178740,3
5yjCgfoFcgSA2QVnPbD3LE,Lazy Afternoon,Purrple Cat,0.822,0.588,0.265,0.0399,0.922,0.0284,79.996,-16.132,1,0,120203,4
3uORbr2TU7N8OPkwtvQbll,Ebb and Flow,Purrple Cat,0.366,0.676,0.334,0.387,0.897,0.0329,140.055,-14.014,0,0,143196,4
1rylrEodrFf1HEcsB1NceV,Ball of Yarn,Purrple Cat,0.923,0.77,0.397,0.205,0.925,0.0808,80.055,-13.588,1,0,148680,3
357ZT5TfzIpJzZfKFEbz0o,Daydreams,Purrple Cat,0.543,0.712,0.256,0.296,0.896,0.0368,116.012,-16.232,1,0,202328,4
0BUsa0n8DmUxJn7flVnvL8,Cat Nip Daze,Purrple Cat,0.89,0.785,0.348,0.749,0.912,0.0656,134.985,-15.361,0,4,148255,4
0xnqC77vIxbidlB5BsG7Ca,Tabula Rasa,Purrple Cat,0.713,0.696,0.262,0.122,0.897,0.039,100.016,-14.257,1,0,192312,4
7ptVDm5qOiU96cxJPEhBQd,Cosmic Web,Purrple Cat,0.846,0.664,0.198,0.189,0.956,0.0448,150.133,-14.799,0,11,208808,1
