id,track_name,artist_name,acousticness,danceability,energy,valence,instrumentalness,speechiness,tempo,loudness,mode,key,duration_ms,time_signature
2CjKZQl0uJc2alX9R0ALNN,calm forest,ddc.,0.554,0.583,0.316,0.202,0.967,0.0254,80.017,-17.285,0,11,168072,4
3jZ2Zhg9M0iwL5BRAcOj3B,gentle wind,ddc.,0.822,0.698,0.337,0.299,0.921,0.0322,119.984,-15.929,0,3,160052,4
2mvuUtzbqVAIcdAMw2Qkjs,mellow waves,ddc.,0.666,0.518,0.29,0.0638,0.893,0.0348,146.028,-13.903,1,9,142251,4
7IEaWHlWSLxrhtA0axcV5G,alone time,fleece,0.952,0.765,0.0489,0.179,0.914,0.0385,110.02,-21.626,1,1,163123,4
3wiW4Ua9gogfdH283GVx6t,reminds me of you,sogni,0.957,0.702,0.193,0.172,0.839,0.0367,130.053,-18.745,1,0,168974,4
0VkHdnyVmNCxzKsP3twlg5,talked in a dream,fleece,0.861,0.579,0.108,0.0949,0.942,0.0286,86.025,-19.539,0,0,112994,4
1TRopBSqI9MvQCLHOHONH6,rain on hill,ddc.,0.864,0.616,0.152,0.348,0.887,0.0295,135.981,-17.489,0,1,143882,4
2eIyqO4XKYwwJdCV7O4ZLk,rainy day memories,Lowfi,0.833,0.675,0.321,0.325,0.935,0.0527,124.076,-12.258,0,7,135968,4
6ey1CZ91ozhS8amFDM0ijG,Sunday Vibes,Lowfi,0.805,0.332,0.447,0.137,0.877,0.138,80.516,-11.392,1,1,143889,4
26AW8kEcSXIuJxKzbvm98F,morning brew,ddc.,0.828,0.519,0.147,0.056,0.917,0.0302,141.941,-20.347,1,0,165892,4
2ud1yU5s4MDMhttblKlRob,morning jazzy,Amo,0.885,0.66,0.26,0.217,0.897,0.0628,82.036,-13.017,0,6,151829,4
3cMtZwUNHojxcG3RwW8tWG,times of wind,ddc.,0.562,0.609,0.32,0.259,0.802,0.0323,144.112,-15.98,1,9,171743,4
55df5oVNRFsgb5qBZaOMNz,peaceful mountain,ddc.,0.952,0.64,0.198,0.111,0.948,0.0283,126.014,-18.364,0,5,167680,4
0AZBzffIwbJJjhKLWUMUma,in dreamland,Lowfi,0.261,0.591,0.464,0.28,0.943,0.0298,99.051,-12.658,1,11,145455,4
4JhIm0OvBpw2GFV4hwlaXq,calmy,sogni,0.938,0.705,0.153,0.138,0.941,0.0379,79.973,-19.891,1,0,144811,4
6PheyP6CbLr8wjo2pjPOWr,midnight sky,ddc.,0.87,0.724,0.265,0.298,0.889,0.0601,140.102,-17.535,1,3,140057,4
72rfyVTjWz12iYiCPA61xc,rainy night,ddc.,0.807,0.629,0.119,0.219,0.926,0.0369,130.01,-19.832,0,10,180964,4
6Os5tGQzh0LsF6dSf5P17N,birds in the forest,ddc.,0.944,0.462,0.119,0.323,0.122,0.273,74.931,-19.465,1,4,170045,3
0lbeTL8L95UxzVp6JfbMQN,free wandering,ddc.,0.515,0.661,0.243,0.0766,0.87,0.0369,139.976,-15.628,1,2,147266,4
7EYQLbaD08AmR75vfxMk1V,country night,fleece,0.955,0.716,0.0888,0.0413,0.853,0.0955,120.02,-23.693,1,10,156122,4
1ExKGVp9y06oQrNKH1hX5D,Dawn,Lowfi,0.765,0.642,0.302,0.238,0.863,0.0423,65.147,-15.325,0,6,148615,4
4NNZG7PLhyQvrlkayeUduz,in passing,sogni,0.744,0.689,0.134,0.0713,0.721,0.0381,75.026,-17.887,0,0,181226,4
07tMf4xGksl7rWNIxUZB9W,lazy afternoon groove,Lowfi,0.655,0.597,0.303,0.37,0.881,0.058,147.767,-16.189,1,10,143311,4
4J5IiRd76OUvOn0cHWajFP,Mellow Mornings,Lowfi,0.462,0.732,0.487,0.6,0.796,0.0443,84.008,-10.033,0,5,154628,4
